frame_idx,elapsed_s,fps,avg_fps,num_objetos,target_id,target_label,target_color,target_status,target_matches,target_inliers,target_inlier_ratio,dx_px,dy_px,zona_central,cmd_gpio,capture_path
137,65.3951,2.0930,2.3277,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
138,65.8477,2.2092,2.3268,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
139,66.3158,2.1365,2.3254,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
140,66.8099,2.0238,2.3233,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
141,67.2484,2.2805,2.3230,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
142,67.7165,2.1361,2.3217,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
143,68.1797,2.1592,2.3205,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
144,68.6494,2.1289,2.3192,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
145,69.1158,2.1441,2.3180,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
146,69.5834,2.1383,2.3168,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
147,70.0500,2.1432,2.3156,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
148,70.5201,2.1273,2.3143,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
149,70.9846,2.1527,2.3132,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
150,71.4489,2.1539,2.3122,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
151,71.9494,1.9982,2.3101,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
152,72.3841,2.3001,2.3100,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
153,72.8478,2.1567,2.3090,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
154,73.3160,2.1357,2.3079,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
155,73.7833,2.1401,2.3068,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
156,74.2495,2.1447,2.3058,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
157,74.7154,2.1466,2.3047,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
158,75.1841,2.1333,2.3037,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
159,75.6542,2.1276,2.3026,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
160,76.1168,2.1615,2.3017,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
161,76.5854,2.1339,2.3006,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
162,77.0789,2.0264,2.2989,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
163,77.5216,2.2592,2.2987,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
164,77.9845,2.1602,2.2979,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
165,78.4591,2.1067,2.2967,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
166,78.9180,2.1792,2.2960,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
167,79.3854,2.1395,2.2950,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
168,79.8527,2.1400,2.2941,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
169,80.3178,2.1503,2.2933,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
170,80.7857,2.1372,2.2924,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
171,81.2629,2.0952,2.2912,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
172,81.7188,2.1937,2.2906,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
173,82.2166,2.0088,2.2890,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
174,82.6538,2.2871,2.2890,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
175,83.1224,2.1341,2.2881,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
